"date","music","love","party","location","book"
"2016-10-04",1331771.41595935,1954577.10817487,467947.855370312,"france","no_book"
"2016-10-05",1488076.29492411,1792298.82132086,465062.322259257,"france","no_book"
"2016-10-06",1395940.68275759,1880722.87702976,387330.806777608,"france","no_book"
"2016-10-07",1566725.79838796,2032707.64308143,544568.5884004,"france","no_book"
"2016-10-08",2030775.25494464,2654069.77970348,548030.771451876,"france","no_book"
"2016-10-09",1792940.47823605,2660812.47307303,549892.293524197,"france","no_book"
"2016-10-10",1407169.38170921,1875179.01573066,391414.765660061,"france","no_book"
"2016-10-11",1325550.53618232,1874485.85040456,469882.776555392,"france","no_book"
"2016-10-12",1405325.09841656,2030483.52781579,544069.463587695,"france","no_book"
"2016-10-13",1485466.16305729,1962565.29839228,469734.45554483,"france","no_book"
"2016-10-14",1557920.88813632,2027258.32549178,468812.199259605,"france","no_book"
"2016-10-15",2260409.61954404,2575420.15118589,551127.659383802,"france","no_book"
"2016-10-16",1949152.13018591,2652890.67180654,549644.147964692,"france","no_book"
"2016-10-17",1486188.28599058,2032313.40053716,474226.7505412,"france","no_book"
"2016-10-18",1472919.11387769,2025674.10720249,467361.82858749,"france","no_book"
"2016-10-19",1484114.24892329,1950174.53286394,465959.458165168,"france","no_book"
"2016-10-20",1718637.54456165,2104306.26151037,468214.406810004,"france","no_book"
"2016-10-21",1875494.65169642,2264053.35004764,543075.804858745,"france","no_book"
"2016-10-22",1944984.00203803,2503664.88354571,629369.057504554,"france","no_book"
"2016-10-23",1958402.83201256,2653321.87659019,702054.926428402,"france","no_book"
"2016-10-24",1566059.03851929,2107481.30292907,628527.492797588,"france","no_book"
"2016-10-25",1558507.82232255,2192364.72271829,464288.346000586,"france","no_book"
"2016-10-26",1645068.79645927,2182814.43250351,548668.272717056,"france","no_book"
"2016-10-27",1559581.8672207,2183571.55274456,545805.328054601,"france","no_book"
"2016-10-28",1951056.29779086,2029098.24416084,620797.899617923,"france","no_book"
"2016-10-29",2182398.14856896,2415700.04876587,771058.061761969,"france","no_book"
"2016-10-30",1794645.76081025,2419048.35085987,938051.236008692,"france","no_book"
"2016-10-31",1719148.2398345,2028964.94075915,862156.460225724,"france","no_book"
"2016-11-01",1867689.24919472,2334743.39983092,701940.314588847,"france","no_book"
"2016-11-02",1408862.11154554,1948848.66035154,702033.414063133,"france","no_book"
"2016-11-03",1409835.41595935,1720385.10817487,858267.855370312,"france","no_book"
"2016-11-04",1722268.29492411,2104554.82132086,855382.322259258,"france","no_book"
"2016-11-05",2098516.68275759,2427170.87702976,1011842.80677761,"france","no_book"
"2016-11-06",2035109.79838796,2501091.64308143,1012952.5884004,"france","no_book"
"2016-11-07",1562391.25494464,1951493.77970348,626094.771451876,"france","no_book"
"2016-11-08",1480684.47823605,1880172.47307303,706020.293524197,"france","no_book"
"2016-11-09",1407169.38170921,1797115.01573066,625606.765660061,"france","no_book"
"2016-11-10",1950062.53618232,2030613.85040456,704074.776555392,"france","no_book"
"2016-11-11",2732413.09841656,2811123.52781579,778261.463587695,"france","no_book"
"2016-11-12",7028010.16305729,2665141.29839229,938118.45554483,"france","no_book"
"2016-11-13",7803040.88813632,2495642.32549178,937196.199259605,"france","no_book"
"2016-11-14",2650729.61954404,1950908.15118589,707255.659383802,"france","no_book"
"2016-11-15",1949152.13018591,1950314.67180654,705772.147964692,"france","no_book"
"2016-11-16",1642316.28599058,2110377.40053716,708418.7505412,"france","no_book"
"2016-11-17",1629047.11387769,2025674.10720249,701553.82858749,"france","no_book"
"2016-11-18",1796370.24892329,2262430.53286394,700151.458165168,"france","no_book"
"2016-11-19",2187021.54456165,2650754.26151037,936598.406810004,"france","no_book"
"2016-11-20",1953558.65169642,2498245.35004764,855331.804858745,"france","no_book"
"2016-11-21",1632728.00203803,1957216.88354571,707433.057504554,"france","no_book"
"2016-11-22",1568082.83201256,1950745.87659019,623990.926428402,"france","no_book"
"2016-11-23",1644123.03851929,2029417.30292907,628527.492797588,"france","no_book"
"2016-11-24",1480443.82232255,2036236.72271829,542352.346000586,"france","no_book"
"2016-11-25",1645068.79645927,2026686.43250351,704796.272717056,"france","no_book"
"2016-11-26",2106029.8672207,2573891.55274456,858061.328054601,"france","no_book"
"2016-11-27",1872992.29779086,2653610.24416084,854989.899617923,"france","no_book"
"2016-11-28",1323694.14856896,2025380.04876587,927186.061761969,"france","no_book"
"2016-11-29",1404325.76081025,1950664.35085987,1094179.23600869,"france","no_book"
"2016-11-30",1563020.2398345,1950900.94075915,2033116.46022572,"france","no_book"
"2016-12-01",1477369.24919472,1866359.39983092,2341284.31458885,"france","no_book"
"2016-12-02",1799182.11154554,2183040.66035154,2107185.41406313,"france","no_book"
"2016-12-03",2034347.41595935,2579089.10817487,2107291.85537031,"france","no_book"
"2016-12-04",1956460.29492411,2494874.82132086,1636022.32225926,"france","no_book"
"2016-12-05",1395940.68275759,1880722.87702976,1089906.80677761,"france","no_book"
"2016-12-06",1410597.79838796,1954643.64308143,856824.5884004,"france","no_book"
"2016-12-07",1562391.25494464,2029557.77970348,782222.771451876,"france","no_book"
"2016-12-08",1792940.47823605,2036300.47307303,784084.293524197,"france","no_book"
"2016-12-09",1797489.38170921,2031307.01573066,781734.765660061,"france","no_book"
"2016-12-10",1950062.53618232,2733189.85040456,938266.776555392,"france","no_book"
"2016-12-11",1873709.09841656,2811123.52781579,934389.463587695,"france","no_book"
"2016-09-13",4608026.16305729,4616741.29839228,3123910.45554483,"newyork","no_book"
"2016-09-14",4680480.88813632,4525306.32549178,2810732.1992596,"newyork","no_book"
"2016-09-15",4680393.61954404,4605084.15118589,2893047.6593838,"newyork","no_book"
"2016-09-16",4681392.13018591,4526426.67180654,3281884.14796469,"newyork","no_book"
"2016-09-17",5077132.28599058,5623257.40053716,3440658.7505412,"newyork","no_book"
"2016-09-18",4907735.11387769,5226298.10720249,3667985.82858749,"newyork","no_book"
"2016-09-19",4294418.24892329,4370158.53286394,2964007.45816517,"newyork","no_book"
"2016-09-20",4450877.54456165,4680418.26151037,2888198.40681,"newyork","no_book"
"2016-09-21",4529670.65169642,4449845.35004764,3197251.80485875,"newyork","no_book"
"2016-09-22",4521096.00203803,4689456.88354571,2815161.05750455,"newyork","no_book"
"2016-09-23",4534514.83201256,4682985.87659019,3122038.9264284,"newyork","no_book"
"2016-09-24",5157003.03851929,5620361.30292907,3751087.49279759,"newyork","no_book"
"2016-09-25",4603003.82232255,5392988.72271829,3664912.34600059,"newyork","no_book"
"2016-09-26",4299244.79645927,4446670.43250351,3124780.27271706,"newyork","no_book"
"2016-09-27",4135693.8672207,4291299.55274456,3278045.3280546,"newyork","no_book"
"2016-09-28",4527168.29779086,4605210.24416084,3118845.89961792,"newyork","no_book"
"2016-09-29",4524318.14856896,4211172.04876587,2878786.06176197,"newyork","no_book"
"2016-09-30",4448821.76081025,4604840.35085987,3045779.23600869,"newyork","no_book"
"2016-10-01",4685580.2398345,5541844.94075915,4140844.46022572,"newyork","no_book"
"2016-10-02",4599929.24919472,5457303.39983092,3902564.31458885,"newyork","no_book"
"2016-10-03",4141102.11154554,4915280.66035154,3434273.41406313,"newyork","no_book"
"2016-10-04",4220139.41595935,4608753.10817487,3512443.85537031,"newyork","no_book"
"2016-10-05",4298380.29492411,4134218.82132086,3197302.32225926,"newyork","no_book"
"2016-10-06",4284308.68275759,4300706.87702976,3041506.80677761,"newyork","no_book"
"2016-10-07",4455093.79838796,4530755.64308143,3198744.5884004,"newyork","no_book"
"2016-10-08",4684951.25494464,5308245.77970348,4295102.77145188,"newyork","no_book"
"2016-10-09",4447116.47823605,5393052.47307303,4375028.2935242,"newyork","no_book"
"2016-10-10",3827153.38170921,4529355.01573066,3670102.76566006,"newyork","no_book"
"2016-10-11",4213918.53618232,5231237.85040457,3826634.77655539,"newyork","no_book"
"2016-10-12",4371757.09841656,4918851.52781579,3822757.46358769,"newyork","no_book"
"2016-10-13",4608026.16305729,4694805.29839228,3748422.45554483,"newyork","no_book"
"2016-10-14",4602416.88813632,4525306.32549178,3825564.1992596,"newyork","no_book"
"2016-10-15",4836521.61954404,5619916.15118589,4298199.6593838,"newyork","no_book"
"2016-10-16",4369136.13018591,5229002.67180654,4140588.14796469,"newyork","no_book"
"2016-10-17",4140364.28599058,4452297.40053716,3830978.7505412,"newyork","no_book"
"2016-10-18",4283223.11387769,4757914.10720249,3824113.82858749,"newyork","no_book"
"2016-10-19",4216354.24892329,4448222.53286394,3900775.45816517,"newyork","no_book"
"2016-10-20",4216685.54456165,4290098.26151037,3903030.40681,"newyork","no_book"
"2016-10-21",4529670.65169642,4605973.35004764,4368211.80485875,"newyork","no_book"
"2016-10-22",4833352.00203803,5626224.88354571,4922889.05750455,"newyork","no_book"
"2016-10-23",4534514.83201256,5463625.87659019,5073638.9264284,"newyork","no_book"
"2016-10-24",4298299.03851929,5151977.30292907,4687855.49279759,"newyork","no_book"
"2016-10-25",4368811.82232255,4924604.72271829,4913936.34600059,"newyork","no_book"
"2016-10-26",4377308.79645927,4758926.43250351,4920252.27271706,"newyork","no_book"
"2016-10-27",4369885.8672207,4525491.55274456,5307709.3280546,"newyork","no_book"
"2016-10-28",4605232.29779086,4136826.24416084,5773021.89961792,"newyork","no_book"
"2016-10-29",4758510.14856896,5382132.04876587,7796818.06176197,"newyork","no_book"
"2016-10-30",4448821.76081025,5775800.35085987,6012211.23600869,"newyork","no_book"
"2016-10-31",4373324.2398345,4370884.94075915,4375036.46022572,"newyork","no_book"
"2016-11-01",4521865.24919472,4754727.39983092,3356116.31458885,"newyork","no_book"
"2016-11-02",4531422.11154554,4603024.66035154,3122017.41406313,"newyork","no_book"
"2016-11-03",4844651.41595935,4608753.10817487,2965995.85537031,"newyork","no_book"
"2016-11-04",4688700.29492411,5070986.82132086,3197302.32225926,"newyork","no_book"
"2016-11-05",4986884.68275759,5627794.87702976,3509890.80677761,"newyork","no_book"
"2016-11-06",4533157.79838796,5311395.64308143,3276808.5884004,"newyork","no_book"
"2016-11-07",4294631.25494464,4605669.77970348,3670590.77145188,"newyork","no_book"
"2016-11-08",3822604.47823605,4690476.47307303,4921476.2935242,"newyork","no_book"
"2016-11-09",2968449.38170921,3592587.01573066,3982358.76566006,"newyork","no_book"
"2016-11-10",3979726.53618232,4606725.85040457,3280186.77655539,"newyork","no_book"
"2016-11-11",4293693.09841656,5387235.52781579,3276309.46358769,"newyork","no_book"
"2016-11-12",4764154.16305729,5475445.29839228,3358102.45554483,"newyork","no_book"
"2016-11-13",4368224.88813632,5462074.32549178,3357180.1992596,"newyork","no_book"
"2016-11-14",4212009.61954404,5073468.15118589,2971111.6593838,"newyork","no_book"
"2016-11-15",4291072.13018591,5072874.67180654,3203820.14796469,"newyork","no_book"
"2016-11-16",4530684.28599058,4920681.40053716,3206466.7505412,"newyork","no_book"
"2016-11-17",4361287.11387769,4601786.10720249,2887345.82858749,"newyork","no_book"
"2016-11-18",4762802.24892329,4994670.53286394,3120135.45816517,"newyork","no_book"
"2016-11-19",5153453.54456165,5539122.26151037,3356582.40681,"newyork","no_book"
"2016-11-20",5154182.65169642,5698869.35004764,3119187.80485875,"newyork","no_book"
"2016-11-21",5535928.00203803,4767520.88354571,2893225.05750455,"newyork","no_book"
"2016-11-22",4846770.83201256,4839113.87659019,2653654.9264284,"newyork","no_book"
"2016-11-23",4610555.03851929,4761657.30292907,2580127.49279759,"newyork","no_book"
"2016-11-24",4759131.82232255,5783308.72271829,2493952.34600059,"newyork","no_book"
"2016-11-25",4455372.79645927,4915054.43250351,2500268.27271706,"newyork","no_book"
"2016-11-26",4604077.8672207,5306131.55274456,2887725.3280546,"newyork","no_book"
"2016-11-27",4761360.29779086,5463914.24416084,2962717.89961792,"newyork","no_book"
"2016-11-28",4212062.14856896,4445364.04876587,2488466.06176197,"newyork","no_book"
"2016-11-29",4683013.76081025,4839032.35085987,2733523.23600869,"newyork","no_book"
"2016-11-30",4607516.2398345,4761204.94075915,2735692.46022572,"newyork","no_book"
"2016-12-01",4756057.24919472,4754727.39983092,2887732.31458885,"newyork","no_book"
"2016-12-02",5077870.11154554,5071408.66035154,3122017.41406313,"newyork","no_book"
"2016-12-03",5625291.41595935,5545521.10817487,3434379.85537031,"newyork","no_book"
"2016-12-04",5391276.29492411,5695498.82132086,3353430.32225926,"newyork","no_book"
"2016-12-05",4830756.68275759,4691026.87702976,2963442.80677761,"newyork","no_book"
"2016-12-06",4767349.79838796,4921075.64308143,3042616.5884004,"newyork","no_book"
"2016-12-07",4763015.25494464,4839861.77970348,2968014.77145188,"newyork","no_book"
"2016-12-08",4759372.47823605,4690476.47307303,3204068.2935242,"newyork","no_book"
"2016-12-09",5076177.38170921,4841611.01573066,3201718.76566006,"newyork","no_book"
"2016-12-10",5072622.53618232,5153173.85040457,3514378.77655539,"newyork","no_book"
"2016-12-11",5464653.09841656,5855619.52781579,3198245.46358769,"newyork","no_book"
"2016-09-13",2500298.16305729,4850933.29839228,1250374.45554483,"spain","no_book"
"2016-09-14",2650816.88813632,5071754.32549178,1249452.1992596,"spain","no_book"
"2016-09-15",2884921.61954404,5229596.15118589,1175639.6593838,"spain","no_book"
"2016-09-16",2963984.13018591,5385130.67180654,1486412.14796469,"spain","no_book"
"2016-09-17",3359724.28599058,6403897.40053716,1489058.7505412,"spain","no_book"
"2016-09-18",3034199.11387769,5850810.10720249,1638321.82858749,"spain","no_book"
"2016-09-19",2655074.24892329,4838542.53286394,1246599.45816517,"spain","no_book"
"2016-09-20",2421213.54456165,4680418.26151037,1326918.40681,"spain","no_book"
"2016-09-21",2578070.65169642,5152421.35004764,1167587.80485875,"spain","no_book"
"2016-09-22",2569496.00203803,5079776.88354571,1331945.05750455,"spain","no_book"
"2016-09-23",2582914.83201256,5619753.87659019,1326566.9264284,"spain","no_book"
"2016-09-24",2971211.03851929,6322937.30292907,1721423.49279759,"spain","no_book"
"2016-09-25",2807531.82232255,6095564.72271829,1635248.34600059,"spain","no_book"
"2016-09-26",2503772.79645927,5305374.43250351,1251244.27271706,"spain","no_book"
"2016-09-27",2496349.8672207,4603555.55274456,1248381.3280546,"spain","no_book"
